연번,시도,시군구,읍면동,우편번호,주소,위도,경도
100,서울,중랑구,면목제7동 ,2252,서울특별시 중랑구 사가정로52길 13 5층 ~ 9층,37.5801115,127.0874184
101,서울,중랑구,상봉제1동 ,2091,서울특별시 중랑구 상봉중앙로1길 6,37.5998632,127.0872001
102,서울,중랑구,상봉제2동 ,2139,서울특별시 중랑구 동일로114길 10,37.592915,127.0808376
103,서울,중랑구,중화제1동 ,2088,서울특별시 중랑구 동일로134길 17,37.6011481,127.0806532
104,서울,중랑구,중화제2동 ,2016,서울특별시 중랑구 동일로129길 1 5층,37.5993765,127.0795262
105,서울,중랑구,묵제1동 ,2034,서울특별시 중랑구 공릉로2가길 5,37.6124178,127.0784983
106,서울,중랑구,묵제2동 ,2008,서울특별시 중랑구 동일로157길 29,37.6097054,127.0754682
107,서울,중랑구,망우본동 ,2059,서울특별시 중랑구 망우로67길 10,37.6005867,127.1015064
108,서울,중랑구,망우제3동 ,2175,서울특별시 중랑구 겸재로61길 40,37.5918799,127.094927
109,서울,중랑구,신내제1동 ,2068,서울특별시 중랑구 용마산로129나길 35,37.6058889,127.0994634
110,서울,중랑구,신내제2동 ,2076,서울특별시 중랑구 봉화산로 190,37.6062326,127.0941728
111,서울,성북구,성북동,2880,서울특별시 성북구 성북로 37,37.5909528,127.003258
112,서울,성북구,삼선동,2847,서울특별시 성북구 보문로 190,37.5909329,127.0146011
113,서울,성북구,동선동,2840,서울특별시 성북구 동소문로26길 27,37.5939938,127.0204185
114,서울,성북구,돈암제1동,2801,"서울시 성북구 정릉로48길35, 3층",37.6026487,127.0277419
115,서울,성북구,돈암제2동,2825,서울특별시 성북구 흥천사길 7,37.5980299,127.0105586
116,서울,성북구,안암동,2853,서울특별시 성북구 고려대로 16,37.5857484,127.0214046
117,서울,성북구,보문동,2859,서울특별시 성북구 안암로3길 35,37.5803914,127.0228543
118,서울,성북구,정릉제1동,2819,서울특별시 성북구 정릉로38마길 33,37.6010173,127.0158196
119,서울,성북구,정릉제2동,2814,서울특별시 성북구 정릉로26길 1 ,37.6044753,127.0111512
120,서울,성북구,정릉제3동,2708,서울특별시 성북구 솔샘로1길 6-3,37.6089333,127.0041887
121,서울,성북구,정릉제4동,2702,서울특별시 성북구 보국문로 106-1,37.6133439,127.0069917
